# BOSCH-DARAB extract file created 22.03.2020 13:35:46
#
# Data from source file "Z:\Logged Data\Car_1819_Car_11\08082019_STT\08082019STT_James_05_KP_10.bmsbin"
# where 0.000 <= xtime <= 514.838
# 
xtime    [   s]	M400_engineTemp[none]	M400_oilPressure[none]	M400_oilTemp[none]	M400_rpm [none]
          0.000	           84.2	            0.3	           94.8	              0
          0.010	           84.2	            0.3	           94.8	              0
          0.020	           84.2	            0.3	           94.8	              0
          0.030	           84.2	            0.3	           94.8	              0
          0.040	           84.2	            0.3	           94.8	              0
          0.050	           84.2	            0.3	           94.8	              0
          0.060	           84.2	            0.3	           94.8	              0
          0.070	           84.2	            0.3	           94.8	              0
          0.080	           84.2	            0.3	           94.8	              0
          0.090	           84.2	            0.3	           94.8	              0
          0.100	           84.2	            0.3	           94.8	              0
          0.110	           84.2	            0.3	           94.8	              0
          0.120	           84.2	            0.3	           94.8	              0
          0.130	           84.2	            0.3	           94.8	              0
          0.140	           84.2	            0.3	           94.8	              0
          0.150	           84.2	            0.3	           94.8	              0
          0.160	           84.2	            0.3	           94.8	              0
          0.170	           84.2	            0.3	           94.8	              0
          0.180	           84.1	            0.3	           94.8	              0
          0.190	           84.1	            0.3	           94.8	              0
          0.200	           84.1	            0.3	           94.8	              0
          0.210	           84.1	            0.3	           94.8	              0
          0.220	           84.1	            0.3	           94.8	              0
          0.230	           84.1	            0.3	           94.8	              0
          0.240	           84.1	            0.3	           94.8	              0
          0.250	           84.1	            0.3	           94.8	              0
          0.260	           84.1	            0.3	           94.8	              0
          0.270	           84.1	            0.3	           94.8	              0
          0.280	           84.1	            0.3	           94.8	              0
          0.290	           84.1	            0.3	           94.8	              0
          0.300	           84.1	            0.3	           94.8	              0
          0.310	           84.1	            0.3	           94.8	              0
          0.320	           84.1	            0.3	           94.8	              0
          0.330	           84.1	            0.3	           94.8	              0
          0.340	           84.1	            0.3	           94.8	              0
          0.350	           84.1	            0.3	           94.8	              0
          0.360	           84.1	            0.3	           94.8	              0
          0.370	           84.1	            0.3	           94.8	              0
          0.380	           84.1	            0.3	           94.7	              0
          0.390	           84.1	            0.3	           94.7	              0
          0.400	           84.1	            0.3	           94.7	              0
          0.410	           84.1	            0.3	           94.7	              0
          0.420	           84.1	            0.3	           94.7	              0
          0.430	           84.1	            0.3	           94.7	              0
          0.440	           84.1	            0.3	           94.7	              0
          0.450	           84.1	            0.3	           94.7	              0
          0.460	           84.1	            0.3	           94.7	              0
          0.470	           84.1	            0.3	           94.7	              0
          0.480	           84.1	            0.3	           94.7	              0
          0.490	           84.1	            0.3	           94.7	              0
          0.500	           84.1	            0.3	           94.7	              0
          0.510	           84.1	            0.3	           94.7	              0
          0.520	           84.1	            0.3	           94.7	              0
          0.530	           84.1	            0.3	           94.7	              0
          0.540	           84.1	            0.3	           94.7	              0
          0.550	           84.1	            0.3	           94.7	              0
          0.560	           84.1	            0.3	           94.7	              0
          0.570	           84.1	            0.3	           94.7	              0
          0.580	           84.1	            0.3	           94.7	              0
          0.590	           84.1	            0.3	           94.7	              0
          0.600	           84.1	            0.3	           94.7	              0
          0.610	           84.1	            0.3	           94.7	              0
          0.620	           84.1	            0.3	           94.7	              0
          0.630	           84.1	            0.3	           94.7	              0
          0.640	           84.1	            0.3	           94.7	              0
          0.650	           84.1	            0.3	           94.7	              0
          0.660	           84.1	            0.3	           94.7	              0
          0.670	           84.1	            0.3	           94.7	              0
          0.680	           84.1	            0.3	           94.7	              0
          0.690	           84.1	            0.3	           94.7	              0
          0.700	           84.1	            0.3	           94.7	              0
          0.710	           84.1	            0.3	           94.7	              0
          0.720	           84.1	            0.3	           94.7	              0
          0.730	           84.1	            0.3	           94.7	              0
          0.740	           84.1	            0.3	           94.7	              0
          0.750	           84.1	            0.3	           94.7	              0
          0.760	           84.1	            0.3	           94.7	              0
          0.770	           84.1	            0.3	           94.7	              0
          0.780	           84.1	            0.3	           94.6	              0
          0.790	           84.1	            0.3	           94.6	              0
          0.800	           84.1	            0.3	           94.6	              0
          0.810	           84.1	            0.3	           94.6	              0
          0.820	           84.1	            0.3	           94.6	              0
          0.830	           84.1	            0.3	           94.6	              0
          0.840	           84.1	            0.3	           94.6	              0
          0.850	           84.1	            0.3	           94.6	              0
          0.860	           84.1	            0.3	           94.6	              0
          0.870	           84.1	            0.3	           94.6	              0
